order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender,Revenue,Age_group,Days Since Last Purchase,Customer Tenure Days,Month-Year,Churn Risk Score
ORD5000,CUST1000,39,PROD200,Canada,07-Jan-21,21-Feb-23,0,active,20-Aug-24,78.21,5,37,Sports,Football,Sports,Female,391.05,36-45,1095,775,Aug-24,50
ORD5001,CUST1001,61,PROD201,USA,19-Oct-20,08-Dec-21,0,active,17-Jul-25,64.02,8,35,Sports,Refrigerator,Home,Female,512.16,56+,1535,415,Jul-25,50
ORD5002,CUST1002,26,PROD202,Pakistan,10-Jun-23,04-Sep-23,3,cancelled,12-Mar-25,604.14,2,44,Electronics,Hoodie,Clothing,Female,1208.28,26-35,900,86,Mar-25,80
ORD5003,CUST1003,54,PROD203,India,30-Jul-23,20-Feb-24,4,paused,19-Sep-24,84.66,4,1,Sports,Conditioner,Beauty,Male,338.64,46-55,731,205,Sep-24,100
ORD5004,CUST1004,50,PROD204,India,09-Dec-20,14-Sep-24,0,active,08-Aug-24,62.66,7,35,Sports,Smartwatch,Electronics,Male,438.62,46-55,524,1375,Aug-24,50
ORD5005,CUST1005,46,PROD205,Pakistan,16-May-23,13-Aug-25,2,active,14-Oct-24,221.61,8,16,Electronics,Hoodie,Clothing,Male,1772.88,46-55,191,820,Oct-24,70
ORD5006,CUST1006,29,PROD206,Germany,10-Apr-23,15-Jul-25,1,active,05-Mar-24,175.74,4,7,Clothing,Tablet,Electronics,Female,702.96,26-35,220,827,Mar-24,60
ORD5007,CUST1007,24,PROD207,UK,11-Jul-22,31-Dec-24,2,active,21-Mar-25,9.56,5,34,Clothing,Jacket,Clothing,Female,47.8,18-25,416,904,Mar-25,70
ORD5008,CUST1008,53,PROD208,Pakistan,25-Apr-21,26-Dec-24,4,paused,14-Dec-23,1525.8,1,32,Electronics,Nail Polish,Beauty,Female,1525.8,46-55,421,1341,Dec-23,100
ORD5009,CUST1009,38,PROD209,Germany,09-Dec-21,29-Nov-24,2,active,24-Dec-21,337.24,4,6,Clothing,Camera,Electronics,Male,1348.96,36-45,448,1086,Dec-21,70
ORD5010,CUST1010,41,PROD210,UK,04-Oct-20,02-Aug-22,2,active,23-Nov-23,203.05,6,38,Home,Dumbbells,Sports,Female,1218.3,36-45,1298,667,Nov-23,70
ORD5011,CUST1011,24,PROD211,Canada,12-Feb-22,12-Mar-25,1,active,30-May-25,940.17,1,24,Beauty,Headphones,Electronics,Female,940.17,18-25,345,1124,May-25,60
ORD5012,CUST1012,39,PROD212,Canada,20-Dec-20,16-Jan-23,2,active,07-Aug-21,168.79,9,36,Beauty,Vacuum Cleaner,Home,Female,1519.11,36-45,1131,757,Aug-21,70
ORD5013,CUST1013,61,PROD213,USA,19-Feb-21,09-Dec-24,3,active,26-Jan-24,236.77,8,5,Sports,Perfume,Beauty,Female,1894.16,56+,438,1389,Jan-24,80
ORD5014,CUST1014,64,PROD214,UK,27-Feb-21,24-Apr-25,1,active,06-Dec-23,130.32,6,20,Clothing,Cycling Helmet,Sports,Female,781.92,56+,302,1517,Dec-23,60
ORD5015,CUST1015,28,PROD215,UK,31-Dec-21,15-Nov-23,5,cancelled,30-Nov-24,333.99,3,27,Home,Face Wash,Beauty,Female,1001.97,26-35,828,684,Nov-24,80
ORD5016,CUST1016,34,PROD216,USA,06-Jul-21,02-Aug-25,1,active,19-Jun-24,1875.08,1,31,Sports,Football,Sports,Female,1875.08,26-35,202,1488,Jun-24,60
ORD5017,CUST1017,22,PROD217,Pakistan,14-Sep-21,04-Aug-24,0,cancelled,27-Jan-24,211.24,6,18,Electronics,Cricket Bat,Sports,Male,1267.44,18-25,565,1055,Jan-24,50
ORD5018,CUST1018,42,PROD218,USA,25-May-23,09-Jan-25,5,paused,13-Aug-25,1702.39,1,14,Clothing,Sneakers,Clothing,Male,1702.39,36-45,407,595,Aug-25,100
ORD5019,CUST1019,51,PROD219,India,14-Sep-22,13-Aug-25,0,paused,27-Oct-24,199.58,8,41,Clothing,Refrigerator,Home,Female,1596.64,46-55,191,1064,Oct-24,70
ORD5020,CUST1020,64,PROD220,Canada,13-Mar-22,23-Jan-24,4,active,06-May-22,242.03,6,2,Electronics,Cricket Bat,Sports,Female,1452.18,56+,759,681,May-22,80
ORD5021,CUST1021,52,PROD221,Germany,02-Feb-21,20-Jun-22,1,paused,20-Aug-24,50.78,7,9,Home,Dress,Clothing,Male,355.46,46-55,1341,503,Aug-24,80
ORD5022,CUST1022,28,PROD222,Germany,09-Jun-22,05-Aug-22,2,active,06-Feb-24,89.87,6,39,Home,Smartphone,Electronics,Female,539.22,26-35,1295,57,Feb-24,70
ORD5023,CUST1023,25,PROD223,Germany,04-May-21,11-Jun-25,5,active,11-Jul-25,52.34,8,16,Electronics,Camera,Electronics,Male,418.72,18-25,254,1499,Jul-25,80
