customer_id,age_first,country_first,gender_first,days_since_signup_first,days_since_last_purchase_min,cancellations_count_max,purchase_frequency_mean,revenue_sum,revenue_mean,revenue_std,quantity_sum,quantity_mean,subscription_status_first,churned
CUST1000,39,Canada,Female,1864,1089,0,37.0,391.04999999999995,391.04999999999995,,5,5.0,active,0
CUST1001,61,USA,Female,1944,1529,0,35.0,512.16,512.16,,8,8.0,active,0
CUST1002,26,Pakistan,Female,980,894,3,44.0,1208.28,1208.28,,2,2.0,cancelled,1
CUST1003,54,India,Male,930,725,4,1.0,338.64,338.64,,4,4.0,paused,0
CUST1004,50,India,Male,1893,518,0,35.0,438.62,438.62,,7,7.0,active,0
CUST1005,46,Pakistan,Male,1005,185,2,16.0,1772.88,1772.88,,8,8.0,active,0
CUST1006,29,Germany,Female,1041,214,1,7.0,702.96,702.96,,4,4.0,active,0
CUST1007,24,UK,Female,1314,410,2,34.0,47.800000000000004,47.800000000000004,,5,5.0,active,0
CUST1008,53,Pakistan,Female,1756,415,4,32.0,1525.8,1525.8,,1,1.0,paused,0
CUST1009,38,Germany,Male,1528,442,2,6.0,1348.96,1348.96,,4,4.0,active,0
CUST1010,41,UK,Female,1959,1292,2,38.0,1218.3000000000002,1218.3000000000002,,6,6.0,active,0
CUST1011,24,Canada,Female,1463,339,1,24.0,940.17,940.17,,1,1.0,active,0
CUST1012,39,Canada,Female,1882,1125,2,36.0,1519.11,1519.11,,9,9.0,active,0
CUST1013,61,USA,Female,1821,432,3,5.0,1894.16,1894.16,,8,8.0,active,0
CUST1014,64,UK,Female,1813,296,1,20.0,781.92,781.92,,6,6.0,active,0
CUST1015,28,UK,Female,1506,822,5,27.0,1001.97,1001.97,,3,3.0,cancelled,1
CUST1016,34,USA,Female,1684,196,1,31.0,1875.08,1875.08,,1,1.0,active,0
CUST1017,22,Pakistan,Male,1614,559,0,18.0,1267.44,1267.44,,6,6.0,cancelled,1
CUST1018,42,USA,Male,996,401,5,14.0,1702.39,1702.39,,1,1.0,paused,0
